,cadastral_,shape
24,71:28:020213:642,"MULTIPOLYGON (((4290468.57512822 7161363.93452505, 4290469.58761191 7161359.29527696, 4290559.11049359 7161369.18634967, 4290558.61738611 7161365.86264524, 4290536.48160183 7161311.49756383, 4290481.82517558 7161302.73926009, 4290471.36115275 7161302.66631246, 4290468.30497137 7161312.14797629, 4290464.85148938 7161347.09787597, 4290462.69958204 7161363.41526718, 4290468.57512822 7161363.93452505)))"
25,71:28:020213:647,"MULTIPOLYGON (((4290854.81203877 7161540.96627467, 4290868.82420596 7161542.34240731, 4290844.55129978 7161414.87027094, 4290850.55091668 7161378.02690455, 4290926.33708807 7161353.37143178, 4290975.98826844 7161357.59967383, 4290975.67033186 7161355.71800085, 4290925.49868969 7161351.82094471, 4290900.15007915 7161359.56494772, 4290834.02719921 7161379.75002356, 4290858.22611235 7161530.54364828, 4290854.81203877 7161540.96627467)))"
26,71:28:020213:483,"MULTIPOLYGON (((4290542.001861 7161199.77327545, 4290556.4817975 7161199.66377932, 4290556.41349482 7161190.9963832, 4290541.93357419 7161191.10587896, 4290542.001861 7161199.77327545)))"
27,71:28:020213:523,"MULTIPOLYGON (((4290689.53095982 7161437.00373657, 4290700.80297079 7161439.91921696, 4290703.06812269 7161431.91159199, 4290691.42248558 7161430.03886825, 4290689.53095982 7161437.00373657)))"
28,71:28:020213:442,"MULTIPOLYGON (((4291431.4272992 7161594.76716321, 4291455.69888447 7161603.61127081, 4291466.5582597 7161572.91049817, 4291473.06910669 7161554.61934323, 4291492.03384142 7161506.74117215, 4291478.49852456 7161503.35284798, 4291464.80653938 7161503.99544217, 4291455.5786899 7161528.48283687, 4291448.72713157 7161546.67734544, 4291447.89773271 7161546.77551627, 4291432.84883 7161590.2911307, 4291431.4272992 7161594.76716321)))"
29,71:28:020213:644,"MULTIPOLYGON (((4290275.74749196 7161254.60397499, 4290374.49134037 7161264.33482941, 4290376.87615507 7161269.34540834, 4290401.25519601 7161272.20769096, 4290406.70615666 7161217.56105473, 4290399.86225322 7161216.92104582, 4290297.3402539 7161207.36904569, 4290278.41109914 7161226.55081773, 4290275.74749196 7161254.60397499), (4290277.52838729 7161244.88757809, 4290277.65460409 7161243.20287726, 4290279.35260198 7161243.3461144, 4290279.20943219 7161245.03108221, 4290277.52838729 7161244.88757809)))"
30,71:28:020213:504,"MULTIPOLYGON (((4290693.38771139 7161327.46249466, 4290778.04804704 7161332.24366976, 4290777.10584011 7161348.88194503, 4290783.96705514 7161347.37969912, 4290825.5398368 7161338.27470457, 4290828.16032067 7161352.85097056, 4290832.66010898 7161380.16258452, 4290900.15007915 7161359.56494772, 4290899.469288 7161349.71725482, 4290900.24739685 7161338.82665001, 4290901.48483689 7161334.4897511, 4290901.85834944 7161334.51783538, 4290903.30518101 7161304.71570789, 4290903.80327764 7161295.42733445, 4290912.23234336 7161295.49791584, 4290917.03819368 7161295.93177869, 4290986.90626012 7161301.47168318, 4290987.10863338 7161279.88201108, 4290967.66828447 7161251.46460602, 4290935.62319345 7161200.09679184, 4290920.22939526 7161210.01174034, 4290921.55103795 7161195.95127737, 4290859.23816325 7161239.39585771, 4290716.6030146 7161297.28252892, 4290702.13195713 7161305.51685884, 4290693.31910944 7161317.70713839, 4290693.38771139 7161327.46249466)))"
31,71:28:020213:49,"MULTIPOLYGON (((4290436.05346996 7161106.94133502, 4290443.14895222 7161105.248773, 4290440.31683001 7161093.34467071, 4290433.22135779 7161095.03722755, 4290436.05346996 7161106.94133502)))"
32,71:28:020213:61,"MULTIPOLYGON (((4290543.59547794 7161298.00849418, 4290552.52366946 7161298.54750803, 4290554.03707381 7161271.82102641, 4290548.54497408 7161271.95867822, 4290548.3065329 7161276.21173455, 4290547.685736 7161286.35185603, 4290547.5977531 7161288.30792279, 4290544.18611023 7161288.10679501, 4290543.59547794 7161298.00849418)))"
33,71:28:020213:478,"MULTIPOLYGON (((4290442.51923107 7161135.36011367, 4290451.36746038 7161132.97702786, 4290448.50392231 7161122.31415203, 4290439.65570402 7161124.69723133, 4290442.51923107 7161135.36011367)))"
34,71:28:020213:98,"MULTIPOLYGON (((4290458.38619876 7161146.92279158, 4290464.88568542 7161145.0696298, 4290462.08365146 7161135.08564778, 4290455.5672192 7161136.93907215, 4290458.38619876 7161146.92279158)))"
35,71:28:020208:14,"MULTIPOLYGON (((4290309.50670376 7161159.19498621, 4290301.60315807 7161160.18629241, 4290302.93992624 7161170.82232315, 4290310.843216 7161169.81402144, 4290309.50670376 7161159.19498621)))"
36,71:28:020213:497,"MULTIPOLYGON (((4290696.88499204 7161476.54289199, 4290697.23953872 7161475.3644558, 4290708.65445325 7161478.73661751, 4290708.95107067 7161478.18800744, 4290711.16602547 7161478.84991457, 4290711.08660112 7161479.19112179, 4290722.79428571 7161482.84759867, 4290718.07016385 7161499.47794834, 4290722.27835052 7161500.72027568, 4290727.67407689 7161452.39579221, 4290698.80720413 7161447.8036107, 4290693.08909731 7161468.08705893, 4290691.27939414 7161474.86369471, 4290696.88499204 7161476.54289199)))"
37,71:28:020213:103,"MULTIPOLYGON (((4290247.01742348 7161212.13861117, 4290267.34529684 7161212.95741883, 4290267.89570798 7161199.38512676, 4290247.56760326 7161198.54932881, 4290247.01742348 7161212.13861117)))"
38,71:28:020213:375,"MULTIPOLYGON (((4291551.59814122 7161646.45105337, 4291610.49423971 7161667.83238413, 4291641.45187482 7161679.06831208, 4291652.46077156 7161646.06987748, 4291643.33107018 7161642.47565508, 4291566.06196672 7161612.07208319, 4291551.59814122 7161646.45105337)))"
39,71:28:020213:646,"MULTIPOLYGON (((4290373.78394753 7161355.46823265, 4290348.71888798 7161353.21154722, 4290348.54209048 7161354.91406679, 4290359.00281945 7161355.85409534, 4290359.01657531 7161355.64991045, 4290360.69764511 7161355.79339895, 4290360.68388929 7161355.99758384, 4290373.64079605 7161357.15322581, 4290370.62597084 7161390.90654747, 4290402.73060774 7161400.85405533, 4290453.9474402 7161405.43488581, 4290450.79816364 7161414.39121117, 4290459.08033634 7161416.98022268, 4290459.77326388 7161411.42812021, 4290460.41879649 7161406.09773578, 4290468.57512822 7161363.93452505, 4290462.69958204 7161363.41526718, 4290453.27486796 7161362.57802249, 4290453.26138121 7161362.79920087, 4290451.58057508 7161362.67272521, 4290451.59352853 7161362.41756052, 4290373.78394753 7161355.46823265)))"
40,71:28:020213:16,"MULTIPOLYGON (((4290632.87784294 7161331.47766218, 4290569.04971358 7161328.28688627, 4290567.75928682 7161354.09218541, 4290631.58789123 7161357.29997355, 4290632.87784294 7161331.47766218)))"
41,71:28:020213:514,"MULTIPOLYGON (((4290489.35959919 7161134.55354299, 4290498.04575145 7161132.64887335, 4290495.81608355 7161122.40093845, 4290487.12994197 7161124.30560307, 4290489.35959919 7161134.55354299)))"
42,71:28:020213:530,"MULTIPOLYGON (((4290382.04569713 7161167.55357775, 4290390.20982889 7161165.87820565, 4290387.81315799 7161155.78580223, 4290379.9054656 7161157.59310442, 4290382.04569713 7161167.55357775)))"
43,71:28:020213:5,"MULTIPOLYGON (((4290850.55091668 7161378.02690455, 4290844.55129978 7161414.87027094, 4290868.82420596 7161542.34240731, 4290880.45233723 7161552.78204887, 4290959.76315061 7161536.46683971, 4290975.98826844 7161357.59967383, 4290926.33708807 7161353.37143178, 4290850.55091668 7161378.02690455)))"
44,71:28:020213:46,"MULTIPOLYGON (((4290364.80360021 7161160.21062248, 4290371.78527074 7161158.82585174, 4290369.92216762 7161149.23495219, 4290362.92355206 7161150.61998664, 4290364.80360021 7161160.21062248)))"
45,71:28:020213:521,"MULTIPOLYGON (((4290687.59177575 7161444.17333387, 4290698.50043307 7161447.70647177, 4290700.80297079 7161439.91921696, 4290689.53095982 7161437.00373657, 4290687.59177575 7161444.17333387)))"
46,71:28:020213:522,"MULTIPOLYGON (((4290722.27835052 7161500.72027568, 4290725.99247051 7161501.817429, 4290733.44527367 7161435.4940259, 4290717.63141107 7161433.84018459, 4290703.23819444 7161431.94290013, 4290703.06812269 7161431.91159199, 4290700.80297079 7161439.91921696, 4290698.50043307 7161447.70647177, 4290698.80720413 7161447.8036107, 4290727.67407689 7161452.39579221, 4290722.27835052 7161500.72027568)))"
47,71:28:020213:481,"MULTIPOLYGON (((4290346.16183846 7161129.56995425, 4290355.09592256 7161127.25361358, 4290351.01592657 7161111.45983528, 4290342.02833556 7161113.6070414, 4290346.16183846 7161129.56995425)))"
48,71:28:020213:374,"MULTIPOLYGON (((4290445.66163636 7161145.42372119, 4290455.39985799 7161142.48269606, 4290452.46567878 7161132.72175679, 4290442.72746801 7161135.66277459, 4290445.66163636 7161145.42372119)))"
49,71:28:020210:86,"MULTIPOLYGON (((4291543.09835808 7161669.78854091, 4291601.91199064 7161691.30729622, 4291610.49423971 7161667.83238413, 4291551.59814122 7161646.45105337, 4291543.09835808 7161669.78854091)))"
50,71:28:020213:108,"MULTIPOLYGON (((4290912.03295437 7161559.52339806, 4290979.00168451 7161548.80857702, 4291013.25022934 7161534.37905364, 4291006.87971707 7161499.2437094, 4291020.69982667 7161494.89439342, 4291025.82219411 7161473.44723365, 4291024.24155381 7161376.41650777, 4291089.87420282 7161368.1867605, 4291083.89161948 7161310.35468704, 4291083.48882629 7161305.24489573, 4291081.28052289 7161306.07876075, 4291080.96772373 7161303.44914371, 4291083.51375497 7161302.52494094, 4291082.71963044 7161289.80659852, 4291018.50516668 7161295.44716583, 4291017.87567202 7161303.92176077, 4290917.03819368 7161295.93177869, 4290912.23234336 7161295.49791584, 4290903.80327764 7161295.42733445, 4290903.30518101 7161304.71570789, 4290901.85834944 7161334.51783538, 4290977.12340499 7161339.24156894, 4290975.67033186 7161355.71800085, 4290975.98826844 7161357.59967383, 4290959.76315061 7161536.46683971, 4290912.03295437 7161559.52339806)))"
51,71:28:020213:470,"MULTIPOLYGON (((4291481.91711015 7161692.60393738, 4291484.48708827 7161698.54640869, 4291504.49842649 7161706.06436747, 4291516.73358006 7161694.78704667, 4291536.02964841 7161648.55146128, 4291518.29457692 7161642.34028053, 4291500.40264273 7161635.85959156, 4291496.87554672 7161645.51952839, 4291481.91711015 7161692.60393738)))"
52,71:28:020213:489,"MULTIPOLYGON (((4290543.50422021 7161111.87547998, 4290552.9963287 7161111.6237275, 4290552.79146694 7161103.97839091, 4290543.29936762 7161104.23014282, 4290543.50422021 7161111.87547998)))"
53,71:28:020213:519,"MULTIPOLYGON (((4290679.78773852 7161472.00264975, 4290691.27939414 7161474.86369471, 4290693.08909731 7161468.08705893, 4290681.95054186 7161465.03346813, 4290679.78773852 7161472.00264975)))"
54,71:28:020213:503,"MULTIPOLYGON (((4290986.90626012 7161301.47168318, 4291002.37387643 7161302.68850912, 4290995.57454743 7161232.8018383, 4290989.58237234 7161170.00772278, 4290993.64976182 7161166.62890931, 4291047.91007405 7161153.51470614, 4291100.9648606 7161141.38807863, 4291300.17063691 7161097.89484633, 4291301.55863222 7161090.22425177, 4291269.74343373 7161080.34419508, 4291197.7378181 7161086.44966908, 4291068.02888428 7161119.57610873, 4291027.14252906 7161142.01382797, 4290921.55103795 7161195.95127737, 4290920.22939526 7161210.01174034, 4290935.62319345 7161200.09679184, 4290967.66828447 7161251.46460602, 4290987.10863338 7161279.88201108, 4290986.90626012 7161301.47168318)))"
55,71:28:020210:85,"MULTIPOLYGON (((4291533.96474962 7161694.86997337, 4291592.77854506 7161716.38886354, 4291601.91199064 7161691.30729622, 4291543.09835808 7161669.78854091, 4291533.96474962 7161694.86997337)))"
56,71:28:020213:472,"MULTIPOLYGON (((4291453.72476177 7161683.56715677, 4291481.59442851 7161693.64595068, 4291481.91711015 7161692.60393738, 4291496.87554672 7161645.51952839, 4291500.40264273 7161635.85959156, 4291503.92999916 7161626.21665863, 4291514.52708856 7161597.16869618, 4291491.86715519 7161589.43801038, 4291484.74373688 7161615.09909627, 4291475.0164511 7161611.24222724, 4291453.72476177 7161683.56715677)))"
57,71:28:020213:365,"MULTIPOLYGON (((4290266.29597775 7161199.01937986, 4290274.57644364 7161197.18931705, 4290273.33494971 7161191.54886144, 4290265.88253563 7161193.19591596, 4290263.69184958 7161183.25317115, 4290262.8635381 7161183.41918355, 4290266.29597775 7161199.01937986)))"
58,71:28:020213:81,"MULTIPOLYGON (((4291334.06448836 7161640.57638088, 4291357.28877101 7161647.53369844, 4291362.72662993 7161632.14915821, 4291362.2984784 7161631.88399108, 4291368.49844522 7161616.43637901, 4291386.27065418 7161571.3816779, 4291359.42874633 7161560.84443983, 4291354.75225236 7161566.45999671, 4291351.40525325 7161587.52247831, 4291345.00169961 7161607.25672374, 4291338.81371564 7161625.61075626, 4291334.06448836 7161640.57638088)))"
59,71:28:020213:85,"MULTIPOLYGON (((4290633.81979826 7161447.52120326, 4290685.9573429 7161450.23328199, 4290686.41616348 7161450.2940245, 4290686.55016544 7161448.03123319, 4290687.59177575 7161444.17333387, 4290691.42248558 7161430.03886825, 4290703.23819444 7161431.94290013, 4290717.63141107 7161433.84018459, 4290733.44527367 7161435.4940259, 4290733.19153998 7161437.69071646, 4290751.96124608 7161439.67175725, 4290753.92789393 7161413.77047044, 4290773.4633565 7161413.767643, 4290775.62120264 7161375.23433691, 4290777.10584011 7161348.88194503, 4290778.04804704 7161332.24366976, 4290693.38771139 7161327.46249466, 4290691.47454796 7161364.32593571, 4290636.65461776 7161359.22565965, 4290633.81979826 7161447.52120326)))"
60,71:28:020213:90,"MULTIPOLYGON (((4290530.85096524 7161096.55702213, 4290522.53409192 7161098.21793902, 4290524.81637086 7161109.65478297, 4290533.1332557 7161107.99386117, 4290530.85096524 7161096.55702213)))"
61,71:28:020213:94,"MULTIPOLYGON (((4290316.11582556 7161183.80447073, 4290323.47102932 7161182.44785009, 4290321.4523743 7161171.58458929, 4290314.11439984 7161172.95793188, 4290316.11582556 7161183.80447073)))"
62,71:28:020213:100,"MULTIPOLYGON (((4291491.86715519 7161589.43801038, 4291548.54277095 7161608.78120506, 4291562.47343212 7161575.00580896, 4291560.03531701 7161562.39821376, 4291517.79357351 7161527.11977873, 4291512.33710035 7161528.44738142, 4291491.86715519 7161589.43801038)))"
63,71:28:020213:643,"MULTIPOLYGON (((4290352.75013475 7161286.94366836, 4290310.49619012 7161282.90099439, 4290303.08848596 7161362.05498392, 4290339.64793815 7161365.20159697, 4290346.044672 7161373.00461113, 4290347.42494697 7161365.86096646, 4290348.54209048 7161354.91406679, 4290348.71888798 7161353.21154722, 4290355.41662102 7161287.20761006, 4290362.40745427 7161277.74901692, 4290360.47173222 7161276.50472566, 4290352.75013475 7161286.94366836), (4290341.23057078 7161325.53890406, 4290341.37346222 7161323.83692505, 4290343.05452496 7161323.98041681, 4290342.92832096 7161325.66513571, 4290341.23057078 7161325.53890406)))"
64,71:28:020213:15,"MULTIPOLYGON (((4291379.97695518 7161657.04917064, 4291404.3689207 7161668.13533479, 4291430.18723494 7161594.63388845, 4291430.71229276 7161593.52068279, 4291407.8310189 7161583.58355546, 4291393.25607977 7161623.84515632, 4291386.51005214 7161642.29312065, 4291379.97695518 7161657.04917064)))"
65,71:28:020213:3,"MULTIPOLYGON (((4290576.4584952 7161289.3142467, 4290589.54988076 7161290.3994116, 4290590.41931901 7161279.89841571, 4290577.31099733 7161278.8135211, 4290576.4584952 7161289.3142467)))"
66,71:28:020213:87,"MULTIPOLYGON (((4290725.99247051 7161501.817429, 4290773.06078898 7161516.43944115, 4290854.81203877 7161540.96627467, 4290858.22611235 7161530.54364828, 4290834.02719921 7161379.75002356, 4290832.66010898 7161380.16258452, 4290831.19782809 7161371.29607106, 4290775.62120264 7161375.23433691, 4290773.4633565 7161413.767643, 4290753.92789393 7161413.77047044, 4290751.96124608 7161439.67175725, 4290733.19153998 7161437.69071646, 4290726.85578892 7161494.1718387, 4290725.99247051 7161501.817429)))"
67,71:28:020213:6,"MULTIPOLYGON (((4291386.27065418 7161571.3816779, 4291408.74526148 7161580.27144702, 4291424.20276431 7161537.92228665, 4291430.62891205 7161519.63259382, 4291432.58945975 7161514.92706784, 4291392.01675303 7161501.49763042, 4291379.50467704 7161517.77620798, 4291376.16935068 7161527.77285481, 4291361.08572048 7161529.42324376, 4291349.27835714 7161563.47032471, 4291354.75225236 7161566.45999671, 4291359.42874633 7161560.84443983, 4291386.27065418 7161571.3816779)))"
68,71:28:020213:508,"MULTIPOLYGON (((4290541.94405675 7161180.97550898, 4290554.78777189 7161181.41873806, 4290555.05786212 7161173.78283679, 4290542.21389251 7161173.32261572, 4290541.94405675 7161180.97550898)))"
69,71:28:020213:18,"MULTIPOLYGON (((4291569.34253615 7161538.65722853, 4291602.3824689 7161532.57326946, 4291615.94451212 7161532.28945447, 4291615.60636875 7161441.35741656, 4291568.93631494 7161441.25013347, 4291569.34253615 7161538.65722853)))"
70,71:28:020213:99,"MULTIPOLYGON (((4290391.4875107 7161158.68536493, 4290397.50231188 7161157.28181424, 4290395.08335037 7161146.84983715, 4290389.05160353 7161148.25365124, 4290391.4875107 7161158.68536493)))"
